id,cantidad,precio,producto_id,pedido_id,notas
96,2,10.0,10,70,
97,2,9.5,14,70,
98,2,6.0,16,71,
99,1,5.5,17,71,
100,2,10.0,1,72,
101,1,15.0,4,72,
102,1,5.5,17,72,
103,2,9.5,14,73,
104,1,8.0,2,73,
105,1,10.0,6,73,
106,2,17.0,3,74,
107,1,10.0,1,75,
108,1,10.0,1,76,
109,1,6.0,16,77,
110,2,5.5,17,77,
111,2,12.0,11,78,
112,2,8.0,2,79,
113,2,10.0,1,80,
114,2,8.0,7,80,
115,2,10.0,1,81,
116,1,10.0,6,82,
117,2,18.0,13,82,
118,2,8.0,2,83,
119,2,12.0,8,84,
120,1,8.0,7,85,
121,1,10.0,10,85,
122,1,17.0,3,85,
123,1,6.0,16,86,
124,2,5.5,17,87,
125,1,10.0,10,87,
126,1,18.0,13,87,
127,1,18.0,13,88,poca sal
128,2,17.0,3,89,
129,1,12.0,11,89,
130,2,10.0,10,90,
131,1,10.0,1,90,
132,2,10.0,9,91,
133,1,10.0,9,92,
134,1,14.0,5,92,
135,1,15.0,4,93,
136,1,10.0,9,94,
137,1,12.0,8,95,
138,2,10.0,6,95,
139,2,10.0,1,96,
140,1,18.0,13,97,templada
141,2,11.0,15,98,
142,1,17.0,3,99,templada
143,1,11.0,15,99,
144,1,11.0,15,100,
145,1,6.0,16,100,
146,1,22.5,12,101,
147,2,18.0,13,101,
148,1,11.0,15,102,
149,1,6.0,16,102,
150,2,10.0,6,103,
151,2,14.0,5,104,
152,1,15.0,4,104,
153,2,10.0,10,105,
154,1,11.0,15,105,
155,2,6.0,16,106,con hielo
156,2,9.5,14,107,
157,1,5.5,17,107,
158,2,6.0,16,108,
159,1,15.0,4,108,
160,1,18.0,13,109,
161,2,18.0,13,110,
162,1,12.0,11,110,
163,1,10.0,1,111,
164,2,14.0,5,111,
165,1,8.0,7,112,
166,2,10.0,10,113,
167,2,17.0,3,114,
168,2,10.0,1,114,
169,1,10.0,10,114,
170,1,22.5,12,115,
171,2,12.0,8,116,
172,2,9.5,14,116,
173,1,8.0,7,117,
174,2,18.0,13,118,
175,1,14.0,5,119,poca sal
176,2,6.0,16,120,
177,2,14.0,5,121,
178,2,9.5,14,122,
179,2,10.0,6,122,
180,1,9.5,14,123,
181,2,12.0,8,124,
182,2,10.0,9,124,con hielo
183,1,22.5,12,125,
184,2,17.0,3,126,
185,1,14.0,5,126,
186,1,22.5,12,126,
187,1,17.0,3,127,
188,1,10.0,10,127,
189,2,6.0,16,128,
190,1,10.0,10,129,
191,2,5.5,17,129,
192,2,17.0,3,129,templada
193,2,8.0,2,130,
194,1,10.0,10,131,
195,1,6.0,16,131,
196,2,14.0,5,132,
197,1,15.0,4,133,
198,1,11.0,15,134,
199,1,22.5,12,134,
200,1,8.0,2,135,
201,1,12.0,11,135,
202,1,9.5,14,136,
203,1,18.0,13,136,
204,2,22.5,12,137,
205,1,8.0,2,137,
206,2,6.0,16,138,
207,2,12.0,8,139,
208,1,18.0,13,139,
209,2,12.0,11,139,
210,2,11.0,15,140,
211,1,18.0,13,140,templada
212,2,12.0,11,140,
213,2,10.0,9,141,
214,1,12.0,11,141,
215,1,11.0,15,142,
216,2,8.0,7,143,
217,1,12.0,11,144,
218,1,10.0,1,144,
219,1,5.5,17,144,
220,2,10.0,10,145,
221,1,17.0,3,146,
222,1,8.0,7,147,
223,1,15.0,4,147,
224,1,10.0,6,148,
225,2,15.0,4,148,
226,2,11.0,15,149,
227,1,12.0,11,150,
228,2,10.0,9,150,
229,1,12.0,11,151,
230,1,10.0,6,152,
231,1,11.0,15,152,
232,1,6.0,16,153,
233,2,8.0,7,154,
234,1,15.0,4,154,poca sal
235,2,10.0,9,155,sin hielo
236,1,10.0,1,156,
237,2,12.0,11,157,
238,2,6.0,16,158,
239,1,17.0,3,159,
240,2,12.0,8,159,
241,2,22.5,12,160,
