id,numero_transaccion,fecha,factura_id,metodo_pago_id
116,TRX-80820,2025-06-08 20:56:38.441391,116,1
117,TRX-80216,2025-07-05 14:56:49.777322,117,1
118,TRX-80292,2025-06-08 04:37:22.892603,118,3
119,TRX-76261,2025-06-18 00:16:47.590835,119,3
120,TRX-95536,2025-06-12 02:34:08.545085,120,2
121,TRX-12254,2025-06-23 04:29:39.964250,121,3
122,TRX-44663,2025-06-12 04:13:07.909356,122,2
123,TRX-16755,2025-06-23 05:38:38.253592,123,2
124,TRX-71817,2025-06-22 08:26:47.372450,124,3
125,TRX-05529,2025-06-27 02:46:45.851081,125,2
126,TRX-49624,2025-06-11 21:19:37.620375,126,2
127,TRX-21044,2025-06-17 23:36:08.893065,127,1
128,TRX-83815,2025-06-29 08:44:40.444847,128,1
129,TRX-78335,2025-06-29 14:46:18.804915,129,2
130,TRX-32996,2025-06-29 02:55:13.858915,130,3
131,TRX-52298,2025-06-15 05:41:00.773311,131,3
132,TRX-36976,2025-06-15 20:25:45.053649,132,2
133,TRX-78632,2025-06-13 14:04:07.365838,133,1
134,TRX-52961,2025-06-17 20:13:31.860223,134,2
135,TRX-33395,2025-06-27 19:43:39.836313,135,1
136,TRX-09764,2025-06-11 21:41:14.126741,136,2
137,TRX-21977,2025-06-21 00:47:06.928776,137,2
138,TRX-95762,2025-06-10 12:46:25.198847,138,3
139,TRX-04144,2025-06-12 11:20:56.639762,139,2
140,TRX-26982,2025-06-09 04:37:45.487679,140,2
141,TRX-42964,2025-06-15 21:13:06.902816,141,3
142,TRX-09260,2025-06-28 23:59:10.810094,142,2
143,TRX-54190,2025-06-08 19:25:26.233019,143,3
144,TRX-22741,2025-06-19 17:39:52.573224,144,3
145,TRX-28555,2025-07-04 10:59:51.458652,145,2
146,TRX-91800,2025-06-21 02:28:23.818426,146,3
147,TRX-48229,2025-07-05 19:17:48.293241,147,3
148,TRX-36733,2025-06-14 12:20:36.605155,148,2
149,TRX-02518,2025-06-10 05:27:05.038249,149,2
150,TRX-79541,2025-06-25 19:39:51.827427,150,1
151,TRX-61241,2025-06-26 03:39:00.928614,151,2
152,TRX-26551,2025-06-29 14:33:52.316744,152,3
153,TRX-65441,2025-07-03 07:36:58.720386,153,1
154,TRX-27851,2025-06-10 06:03:01.596755,154,2
155,TRX-07521,2025-06-09 23:19:00.971298,155,3
156,TRX-64506,2025-07-02 14:10:39.623403,156,1
157,TRX-88411,2025-06-20 22:04:07.585248,157,1
158,TRX-30249,2025-07-03 12:42:53.620005,158,2
159,TRX-83188,2025-07-05 15:24:49.510174,159,2
160,TRX-62397,2025-06-26 14:08:48.854901,160,1
