id,total,entregado,fecha,mesa_id,trabajador_id
57,75.28,1,2025-06-24 09:04:34.031723,2,6
58,77.29,1,2025-06-06 07:54:50.378756,4,4
59,85.36,1,2025-06-22 00:15:09.818533,1,6
60,88.41,1,2025-06-09 22:30:55.778989,6,1
61,62.56,1,2025-07-02 09:11:44.935110,1,3
62,28.34,1,2025-06-26 00:57:51.549124,2,6
63,86.08,1,2025-06-07 01:37:36.347451,7,8
64,50.26,1,2025-06-13 11:11:32.275180,2,1
65,45.97,1,2025-06-15 08:29:02.072968,4,2
66,35.39,1,2025-06-22 21:29:09.796618,2,5
67,62.88,1,2025-06-15 19:15:05.711365,2,4
68,45.84,1,2025-06-25 11:21:53.537018,5,3
69,78.43,1,2025-06-21 09:19:56.925644,8,3
70,84.0,1,2025-06-14 10:41:51.418455,2,3
71,43.87,1,2025-06-24 03:40:22.932861,5,8
72,23.69,1,2025-06-20 10:48:44.917609,9,2
73,65.82,1,2025-06-21 14:59:05.805700,7,1
74,36.72,1,2025-06-07 07:35:39.793213,10,1
75,34.04,1,2025-06-26 18:21:24.566439,1,5
76,84.17,1,2025-07-03 14:30:31.747772,10,3
77,81.14,1,2025-06-07 08:17:31.128929,9,4
78,85.29,1,2025-06-24 10:54:56.987827,2,4
79,39.23,1,2025-06-12 21:26:12.524745,6,8
80,73.83,1,2025-06-12 06:17:53.407888,1,6
81,23.67,1,2025-06-20 22:21:10.449604,10,2
82,70.03,1,2025-06-18 01:11:18.667468,9,2
83,47.83,1,2025-06-26 21:10:40.737549,6,7
84,87.54,1,2025-07-03 12:08:33.835336,1,2
85,82.19,1,2025-06-10 01:43:44.359174,4,7
86,92.59,1,2025-06-09 05:03:48.924641,9,6
87,22.36,1,2025-06-29 02:16:01.517066,9,1
88,37.49,1,2025-06-14 18:47:36.774492,6,2
89,24.39,1,2025-06-06 22:06:16.776529,5,8
90,80.56,1,2025-06-12 04:21:00.898965,3,7
91,47.02,1,2025-06-24 11:48:49.965339,8,3
92,33.0,1,2025-06-11 04:35:56.080610,2,3
93,30.69,1,2025-07-03 11:20:21.831201,5,8
94,47.09,1,2025-06-10 01:23:02.075257,4,4
95,68.9,1,2025-06-18 19:15:47.238510,3,8
96,56.75,1,2025-06-08 18:06:46.290939,1,3
97,59.81,1,2025-06-27 03:41:05.501901,2,6
98,69.23,1,2025-06-14 04:35:28.110364,6,7
99,57.93,1,2025-06-20 01:16:58.296795,1,3
100,30.6,1,2025-06-11 05:08:05.726585,9,2
101,19.79,1,2025-06-19 11:05:17.596730,2,3
102,58.06,1,2025-06-11 01:00:32.385996,6,3
103,69.68,1,2025-06-16 14:46:16.601445,10,6
104,44.05,1,2025-06-25 09:42:06.317365,8,3
105,93.44,1,2025-06-16 01:49:42.119201,9,7
106,91.23,1,2025-06-17 14:21:09.314646,6,6
107,76.97,1,2025-06-28 06:10:01.865398,9,2
108,27.47,1,2025-06-19 19:55:44.481385,3,2
109,28.98,1,2025-06-10 11:11:01.390983,1,7
110,55.94,1,2025-06-29 05:57:19.789380,8,1
111,44.1,1,2025-07-01 22:01:56.717825,1,8
112,90.51,1,2025-06-19 09:58:56.128271,10,7
113,50.8,1,2025-06-24 05:44:12.512269,5,5
114,24.06,1,2025-07-06 04:03:25.581352,4,2
115,52.84,1,2025-06-29 07:24:23.688870,9,5
116,56.33,1,2025-06-25 07:59:44.778104,10,4
117,75.52,1,2025-06-22 00:51:03.512669,3,8
118,64.7,1,2025-06-18 14:14:00.890365,4,8
119,69.53,1,2025-06-26 07:15:38.479789,7,4
120,25.56,1,2025-06-06 19:33:02.824581,5,2
121,79.8,1,2025-06-10 11:55:32.174610,4,7
122,81.49,1,2025-06-29 23:14:14.294704,6,7
123,45.78,1,2025-07-04 12:09:51.451028,5,2
124,62.67,1,2025-06-09 12:35:43.424839,8,7
125,63.45,1,2025-06-11 18:49:41.515114,4,6
126,20.79,1,2025-06-17 08:58:14.594492,6,6
127,43.97,1,2025-06-18 19:43:54.192847,10,1
128,24.61,1,2025-06-30 23:18:06.112637,2,6
129,68.55,1,2025-06-22 06:42:55.560917,9,4
130,75.25,1,2025-06-08 15:51:17.234962,5,4
131,25.69,1,2025-06-10 10:01:39.939902,5,4
132,58.69,1,2025-06-14 09:58:50.584678,8,8
133,29.98,1,2025-06-16 09:54:38.902605,10,5
134,45.89,1,2025-06-12 14:46:30.831726,1,6
135,89.69,1,2025-06-21 13:08:21.353479,9,3
136,45.52,1,2025-06-17 19:49:32.835636,9,7
137,67.4,1,2025-06-15 01:45:29.686896,9,4
138,27.49,1,2025-06-07 20:26:50.509490,1,2
139,30.53,1,2025-06-06 13:51:22.020388,7,6
140,34.42,1,2025-06-24 11:13:21.306336,5,3
141,40.53,1,2025-06-11 10:34:33.862598,8,2
142,56.34,1,2025-07-01 16:51:45.339597,5,8
143,43.99,1,2025-07-05 22:56:35.182295,7,4
144,51.98,1,2025-06-20 21:26:34.708082,3,6
145,52.96,1,2025-07-01 01:12:22.305264,4,4
146,24.08,1,2025-06-19 00:47:22.167711,8,4
147,36.53,1,2025-06-12 18:52:26.666459,4,2
148,74.13,1,2025-06-18 06:53:10.220757,3,7
149,68.45,1,2025-06-28 13:01:35.722468,5,8
150,87.77,1,2025-06-24 12:38:15.580858,7,8
151,51.5,1,2025-06-28 01:06:59.871412,9,7
152,78.47,1,2025-07-05 06:38:53.686808,3,4
153,83.05,1,2025-06-13 05:26:19.010984,10,4
154,69.45,1,2025-06-11 00:47:23.979292,2,5
155,68.88,1,2025-06-27 10:16:14.400585,5,8
156,56.97,1,2025-06-12 05:21:22.234179,2,4
157,73.84,1,2025-06-29 21:56:31.563134,6,8
158,43.15,1,2025-07-03 05:22:32.856426,1,2
159,53.61,1,2025-06-12 10:48:42.697993,6,3
160,51.91,1,2025-06-26 11:28:07.117949,6,2
